Sample Time (ms),CPU Usage (%),Free Memory (MB)
0,0.0,925.58203125
118,18.3,926.2734375
227,20.7,926.34375
336,15.8,927.71875
445,14.3,919.26953125
553,12.5,918.6484375
661,17.5,912.99609375
783,11.1,889.19921875
891,14.8,887.20703125
1000,20.3,884.984375
1111,24.6,882.25
1234,6.5,880.8046875
1357,36.7,883.8671875
1483,43.1,893.50390625
1607,20.3,887.5390625
1734,23.6,888.15234375
1845,8.9,919.98046875
1968,15.5,956.59765625
2080,11.3,986.46484375
2200,15.3,986.45703125
2323,3.1,987.37109375
2448,3.1,992.421875
2557,1.8,992.4609375
2666,1.8,992.4609375
2777,5.4,989.93359375
2886,5.4,989.90625
2993,5.6,989.9375
3103,15.5,994.3203125
3229,1.6,994.41015625
3352,0.0,994.40234375
3478,4.7,994.6953125
3603,1.6,994.6953125
3728,0.0,994.890625
3852,0.0,995.62890625
3977,3.1,995.72265625
4103,7.9,995.7578125
4228,3.1,990.4296875
4354,0.0,990.40625
4482,1.6,990.40625
4608,1.6,990.4609375
4733,0.0,990.38671875
4858,6.2,990.62890625
4984,0.0,990.5859375
